Gap ID,Category,Gap/Question,Impact/Notes
G0101,Source Conflict,"Should patient authentication definitively include email/password plus Facebook social sign-in, or is there a policy to limit external identity providers given discovery notes that patient login direction remained open while internal identity is SSO-driven?","This changes identity architecture, consent model, and delivery scope for registration flows; unresolved conflict can cause rework across security, UX, and onboarding."
G0102,Ambiguity,"How should onboarding behave when Health Insurance Checker prepopulation is slow or unavailable (the API can take up to 15 seconds): block wizard progression, allow deferred completion, or permit manual override with later verification?","Directly affects conversion, abandonment, and support volume; no failure-path definition creates inconsistent implementation and uncertain gating behavior."
G0103,Capability Gap,"What is the authoritative address validation approach (provider/service, normalization rules, regional coverage, and acceptable confidence thresholds) for global patient onboarding?","Without a defined capability, address quality and downstream practitioner proximity logic are at risk; global operations need country-specific formatting and validation rules."
G0104,Logical Gap,"What is the onboarding and gating path for migrated existing patients: are they forced through profile completion at first login, partially grandfathered, or allowed phased completion before subsidy requests?","Affects cutover readiness, user disruption, and application throughput; missing transition logic can block large cohorts post-migration."
G0105,Potential Risk,Welcome-email gating depends on verified sending domain/site activation and template setup; what operational controls ensure multilingual welcome emails are reliably delivered before users attempt subsidy application?,Knowledge docs indicate welcome email delivery can fail on unverified sending domains; failed onboarding communications increase drop-off and contact-center load.
G0106,Assumption,Assumption to validate: one patient maps to a single canonical identity across email/password and social sign-in without duplicate-account conflicts.,"If false, duplicate identities will fragment profile completeness and eligibility context, undermining onboarding gating and later subsidy processing."
G0107,Missing Requirement,"Experience design question: Who owns user research, service design, and content design for the onboarding wizard (step sequence, progressive disclosure, accessibility, multilingual copy quality, and error-state behavior), and what acceptance measures define a usable onboarding experience?","Without explicit ownership and measurable UX criteria, onboarding can satisfy technical requirements but still fail adoption and completion targets."
G0108,Missing Requirement,"Governance question: Who is the decision owner for identity and onboarding policy changes (social provider approvals, registration data model, language additions, and email template approvals), and what is the change-control process across APAC/EMEA/AMER?","Lack of governance creates cross-region drift and approval bottlenecks, increasing timeline risk and reducing consistency in a sensitive patient-facing flow."
G0109,Missing Requirement,"What explicit consent, retention, and lawful-basis requirements apply during onboarding for profile and insurance attributes captured or prepopulated from external services?",Missing compliance requirements for sensitive patient data can force redesign late in delivery and increase legal/compliance exposure.
G0201,Source Conflict,"Patient volume is inconsistent across source materials (3.5M in project overview vs 5M in data assumptions). Which baseline must drive subsidy-lifecycle sizing, insurance-check throughput, and auto-rejection volume design?","Conflicting baselines can materially distort queue design, integration load assumptions, and performance/nonfunctional targets for eligibility orchestration."
G0202,Ambiguity,"For automatic rejection when insurance covers travel, what exact coverage threshold applies (full coverage only vs partial coverage vs policy-specific exclusions), and are exceptions allowed with assessor override?","Eligibility rule ambiguity creates high risk of wrongful rejection, appeals, and policy noncompliance across regions."
G0203,Missing Requirement,"How should the lifecycle behave when the Health Insurance Checker is slow/unavailable (timeouts, retries, asynchronous pending state, manual triage), given known peak response times up to 15 seconds?","Without explicit failure-path design, applications may stall or fail unpredictably, degrading user trust and assessor productivity."
